Primary_Name,X,Y,Z,Geog_certainty,Occ_Date_U,Occ_Date_L,Occ_Date_Cert
Abella ,14.608472,40.961516,236,certain,-800,500,High
Abellinum,14.8309111,40.922125,313,certain,-300,500,Medium
Acerrae,14.371233,40.946092,30,certain,-300,500,Medium
Aceruntia ,15.9405667,40.796975,833,certain,-600,500,Low
Aecae,15.308894,41.361189,439,certain,-600,500,Medium
Aeclanum,15.010364,41.054064,431,certain,-350,500,Medium
Aefula,12.821808,41.929827,598,certain,-800,0,Low
Aequana,14.426381,40.662354,100,certain,-625,100,Medium
Aequum Tuticum,15.0985028,41.2422778,568,certain,-350,350,Medium
Aesernia,14.230823,41.594348,442,certain,-263,500,High
Afilae,13.097666,41.885123,685,likely,-,-,-
Alba Fucens,13.411669,42.079742,1022,certain,-400,500,Medium
Albano di Lucania,16.0363472,40.5856583,893,certain,-,-,-
Aletrium,13.343955,41.724822,494,certain,-600,500,Medium
Allifae,14.330592,41.328486,110,certain,-700,500,Medium
Alsium,12.102342,41.9337322,2,uncertain,-,-,-
Altamura,16.554519,40.830269,473,certain,-900,0,Medium
Ameria,12.413467,42.557237,406,certain,-900,500,Unconfirmed
Amiternum,13.306,42.400556,678,certain,-9999,500,Low
Amyclae,13.4597778,41.3556,321,certain,-500,-200,Medium
Anagnia,13.158962,41.742213,450,certain,-650,400,High
Angitiae Lucus ,13.4603306,41.9705194,846,certain,-600,400,High
Angulum,14.1388167,42.4545167,172,uncertain,-50,500,Low
Antemnae,12.5006559999999,41.937528,78,certain,-800,-200,Medium
Antinum ,13.469873,41.886242,906,certain,-500,500,Medium
Antium,12.628995,41.4479499999999,43,certain,-800,500,High
Anxanum ,14.391377,42.233175,279,certain,-1200,500,Medium
Anxia,15.925556,40.517656,1006,certain,-500,-300,Medium
Aquilonia,15.425269,41.053314,730,likely,-350,500,Medium
Aquinum,13.6916056,41.498325,112,certain,-400,500,Medium
Arcipete ,13.5885944,41.9391306,699,certain,-200,200,Low
Ardea,12.547028,41.609389,45,certain,-700,400,Medium
Aricia,12.6726413,41.7211083,414,certain,-800,500,Medium
Arpi ,15.5681056,41.5228333,50,certain,-750,200,Medium
Arpinum,13.609876,41.648422,624,certain,-800,500,Medium
Artena,12.910556,41.727778,625,certain,-650,-100,High
Atella,14.257335,40.96184,40,certain,-350,500,Medium
Aternum ,14.2127694,42.4607639,7,certain,-500,500,High
Atina,15.556067,40.454278,625,certain,-700,300,Medium
Atina,13.798223,41.620477,577,certain,-350,400,Low
Aufidena,14.108223,41.784299,852,certain,-90,500,Low
Aufinum,13.7727472,42.2806472,384,certain,-800,500,Medium
Ausculum,15.5634917,41.1979306,456,certain,-700,300,Medium
Aveia,13.487411,42.295745,640,certain,-200,400,Low
Axia,12.022748,42.393892,206,certain,-600,500,Medium
Bagnoregio,12.090295,42.627233,484,certain,-325,-300,Medium
Bantia,16.013924,40.861745,570,certain,-700,500,High
Baragiano,15.595334,40.680328,629,certain,-550,-300,Medium
Barduli,16.283979,41.319271,20,certain,-325,400,Medium
Barium,16.870331,41.129222,12,certain,-850,500,Medium
Bellegra,13.0275556,41.8827833,791,certain,-600,999,Low
Beneventum ,14.781161,41.130437,155,certain,-350,500,High
Blera,12.027539,42.272684,260,certain,-800,500,High
Bovianum ,14.471525,41.4810306,514,certain,-400,500,High
Bovillae,12.6210306,41.7579056,206,certain,-600,500,Low
Buon Riposo,12.5913694,41.5418417,70,certain,-600,-100,Medium
Butuntum ,16.6895306,41.1048917,120,certain,-600,500,Medium
Caelia1,16.8675083,41.0603472,62,certain,-600,500,Medium
Caere ,12.1076778,42.0008111,116,certain,-900,500,High
Caiatia,14.364282,41.178153,253,certain,-320,500,Medium
Calatia,14.36102,41.042582,52,certain,-800,500,High
Cales,14.132073,41.199993,76,certain,-700,500,High
Callifae,14.152675,41.4001389,660,certain,-400,-50,Medium
Campo del Pozzo,12.60885,42.2151861,65,certain,-800,0,Medium
Camporosso,13.6170056,42.2950583,860,certain,-50,500,Low
Cannae,16.15132,41.296496,70,certain,-600,-200,High
Canusium,16.0651528,41.2203553,154,certain,-650,500,High
Capena,12.5355611,42.172575,175,certain,-700,500,High
Capua,14.250057,41.085943,43,certain,-600,500,Medium
Carseoli ,13.0439756,42.0785637,600,certain,-302,500,Medium
Carsulae,12.5568068,42.6397991,440,certain,-200,500,Medium
Casalini Sottana,15.9204667,40.9119694,450,certain,-400,-300,High
Casilinum,14.2130486,41.1061258,30,likely,-9999,250,Low
Casinum,13.8221167,41.4834194,504,certain,-700,500,Low
Castel Canonico,14.2035778,41.7219111,1071,certain,-343,-290,Low
Castellina,11.840555,42.062123,130,certain,-1400,-200,High
Castello Monteforte,14.1290222,41.3183722,323,certain,-343,-290,Low
Castellone,12.8967556,41.5850444,58,certain,-600,-100,Low
Castrimoenium,12.658524,41.769809,365,uncertain,-80,999,Low
Castrum Inui,12.5113,41.5803,5,certain,-400,500,High
Castrum Novum1,11.8333333,42.0333333,7,certain,-264,408,Medium
Caudium,14.632242,41.060979,288,likely,-800,300,Medium
Cencelle,11.8580583,42.1951556,165,certain,-400,-300,Low
Centum Cellae,11.7965889,42.0928111,21,certain,107,500,Medium
Cereatae Marianae,13.487048,41.671251,305,certain,-100,500,Low
Cesoli,13.7086694,42.014475,867,certain,-,-,-
Cima Ramne,13.3942194,42.0372722,1097,certain,-,-,-
Circeii ,13.0891861,41.2327528,103,certain,-600,500,Low
Civita Danzica,14.1686139,42.19325,700,certain,-,-,-
Civita del Fosso d'Arlena,12.0084417,42.60446,477,certain,-350,-250,High
Civita delle Bianche,13.738975,41.9240583,1507,certain,-500,-200,Low
Civita di Tricarico,16.0567028,40.6371556,933,certain,-350,-75,High
Civitanova ,14.3931972,41.6696778,875,certain,-343,-290,Low
Civitella1,14.2367278,41.5447806,710,certain,-343,-290,Low
Civitella2 ,14.4304611,41.5942722,1210,certain,-343,-290,Low
Cliternia,13.041311,42.314542,828,likely,-,-,-
Cluviae,14.2600944,42.1334556,375,certain,-400,400,Medium
Collatia,12.6098889,41.9125944,37,likely,-900,-200,Low
Colle Arienzo ,13.7368806,41.9434139,1461,certain,-,-,-
Colle Cavallo,13.7081167,42.0207306,904,certain,-600,500,Medium
Colle della Battaglia,13.7090083,42.3446417,1175,certain,-800,-275,Medium
Colle delle Fate,13.900331,42.126496,724,certain,-600,-200,Low
Colle delle Spugne,13.7577389,42.1235417,1046,certain,-800,-100,Low
Colle d'Onofrio,14.3545444,41.6672917,951,certain,-343,-290,Low
Colle Marena ,13.9483944,41.4676528,702,certain,-325,-275,Medium
Colle Mitra,13.9752222,42.002725,1094,certain,-600,999,Low
Colle Rischia,13.6612028,42.2254528,1245,certain,-800,100,Low
Colle Rotondo,12.60175,41.517025,60,certain,-600,-200,Medium
Colle Santa Lucia-Colle Maceralonga,13.746125,41.3916361,321,certain,-600,-200,Medium
Colle Sant'Angelo,13.6690222,41.9354778,848,certain,-9999,-50,Low
Colle Separa,13.5719083,42.3026528,907,certain,-900,-300,Low
Compsa,15.330711,40.869305,575,certain,-900,500,Medium
Cora,12.915671,41.64255,403,certain,-600,0,Low
Corchiano,12.3626556,42.3484333,196,certain,-750,-240,High
Corcolle,12.7643222,41.9098639,127,uncertain,-400,-200,Medium
Corfinium,13.842185,42.123814,350,certain,-500,500,Medium
Cozzo Presepe,16.7240556,40.472475,126,certain,-350,-250,High
Croccia Cognato,16.1475056,40.5435583,1152,certain,-600,-275,High
Cubulteria ,14.3389833,41.2633028,96,likely,-90,500,Low
Cumae ,14.0587656,40.8470763,57,certain,-730,500,High
Cupola,15.8094861,41.5402556,1,certain,-1000,-200,High
Cures,12.6794528,42.1837111,120,certain,-700,0,Medium
Curino,14.0281583,41.7403278,1013,certain,-600,0,High
Difesa San Biagio,16.6785333,40.5075278,180,certain,-325,-75,High
Duronia ,14.4569139,41.6545667,925,certain,-350,-250,Medium
Eburum,15.058472,40.619725,140,certain,-900,410,Medium
Eretum,12.6350528,42.1091389,61,certain,-800,0,Medium
Fabrateria Nova,13.558107,41.51929,85,certain,-124,500,High
Fabrateria Vetus  ,13.333544,41.568449,205,certain,-,-,-
Fagifulae,14.667625,41.657876,590,likely,-350,999,Low
Falerii Novi,12.359533,42.299722,206,certain,-240,500,High
Falerii Veteres,12.408293,42.287107,152,certain,-800,-241,Medium
Ferentinum ,13.253364,41.692693,404,certain,-600,500,Low
Ferentium ,12.132177,42.48859,296,certain,-350,500,High
Ferrazzano,14.671646,41.53018,872,certain,-325,-50,Medium
Fescennium,12.416853,42.210553,204,certain,-900,-240,Medium
Ficana,12.3532083,41.7991111,43,certain,-800,-200,Medium
Ficulea,12.6465167,41.9685611,115,certain,-700,500,Medium
Fidenae,12.50875,41.9750222,37,certain,-800,300,High
Fioccaglia di Flumeri,15.0803056,41.0869278,328,certain,-130,-70,High
Forcona,13.4425472,42.3098083,624,certain,-100,500,Medium
Forentum,15.791733,41.04673,305,certain,-800,-200,High
Formiae,13.601067,41.255655,52,certain,-400,500,Low
Forum Appii,12.9975,41.46639,8,certain,-300,500,High
Forum Cassii,12.0643889,42.3299944,320,certain,-150,500,Low
Forum Claudii,13.9878028,41.2122778,138,certain,100,500,Medium
Forum Clodii,12.167955,42.126751,280,certain,-50,400,Low
Forum Novum1,12.6039083,42.3305028,140,certain,-100,500,Medium
Forum Popili,15.498879,40.518218,447,certain,-132,500,Low
Forum Popillii,13.9825028,41.1737028,51,certain,-125,400,Low
Fosso Camponi,13.9749083,41.3975833,154,certain,-27,500,High
Fratte,14.775835,40.700097,70,certain,-350,-200,High
